dist,car
0.0,NaN
100.0,NaN
200.0,1.0
300.0,1.0
400.0,1.0
500.0,1.0
600.0,1.0
700.0,1.0
800.0,1.0
900.0,1.0
1000.0,1.0
1100.0,1.0
1200.0,1.0
1300.0,1.0
1400.0,1.0
1500.0,1.0
1600.0,1.0
1700.0,1.0
1800.0,1.0
1900.0,1.0
2000.0,1.0
2100.0,1.0
2200.0,1.0
2300.0,1.0
2400.0,1.0
2500.0,1.0
2600.0,1.0
2700.0,1.0
2800.0,1.0
2900.0,1.0
3000.0,1.0
3100.0,1.0
3200.0,1.0
3300.0,1.0
3400.0,1.0
3500.0,1.0
3600.0,1.0
3700.0,1.0
3800.0,1.0
3900.0,1.0
4000.0,1.0
4100.0,1.0
4200.0,1.0
4300.0,NaN
4400.0,NaN
4500.0,NaN
4600.0,NaN
4700.0,NaN
4800.0,NaN
4900.0,NaN
5000.0,NaN
5100.0,NaN
5200.0,NaN
5300.0,NaN
5400.0,NaN
5500.0,NaN
5600.0,NaN
5700.0,NaN
5800.0,NaN
5900.0,NaN
6000.0,NaN
6100.0,NaN
6200.0,NaN
6300.0,NaN
6400.0,NaN
6500.0,NaN
6600.0,NaN
6700.0,NaN
6800.0,NaN
6900.0,NaN
7000.0,NaN
7100.0,NaN
7200.0,NaN
7300.0,NaN
7400.0,NaN
7500.0,NaN
7600.0,NaN
7700.0,NaN
7800.0,NaN
7900.0,NaN
8000.0,NaN
8100.0,NaN
8200.0,NaN
8300.0,NaN
8400.0,NaN
8500.0,NaN
8600.0,NaN
8700.0,NaN
8800.0,NaN
8900.0,NaN
9000.0,NaN
9100.0,NaN
9200.0,NaN
9300.0,NaN
9400.0,NaN
9500.0,NaN
9600.0,NaN
9700.0,NaN
9800.0,NaN
9900.0,NaN
10000.0,NaN
10100.0,NaN
10200.0,NaN
10300.0,NaN
10400.0,NaN
10500.0,NaN
10600.0,NaN
10700.0,NaN
10800.0,NaN
10900.0,NaN
11000.0,NaN
11100.0,NaN
11200.0,NaN
11300.0,NaN
11400.0,NaN
11500.0,NaN
11600.0,NaN
11700.0,NaN
11800.0,NaN
11900.0,NaN
12000.0,NaN
12100.0,NaN
12200.0,NaN
12300.0,NaN
12400.0,NaN
12500.0,NaN
12600.0,NaN
12700.0,NaN
12800.0,NaN
12900.0,NaN
13000.0,NaN
13100.0,NaN
13200.0,NaN
13300.0,NaN
13400.0,NaN
13500.0,NaN
13600.0,NaN
13700.0,NaN
13800.0,NaN
13900.0,NaN
14000.0,NaN
14100.0,NaN
14200.0,NaN
14300.0,NaN
14400.0,NaN
14500.0,NaN
14600.0,NaN
14700.0,NaN
14800.0,NaN
14900.0,NaN
15000.0,NaN
15100.0,NaN
15200.0,NaN
15300.0,NaN
15400.0,NaN
15500.0,NaN
15600.0,NaN
15700.0,NaN
15800.0,NaN
15900.0,NaN
16000.0,NaN
16100.0,NaN
16200.0,NaN
16300.0,NaN
16400.0,NaN
16500.0,NaN
16600.0,NaN
16700.0,NaN
16800.0,NaN
16900.0,NaN
17000.0,NaN
17100.0,NaN
17200.0,NaN
17300.0,NaN
17400.0,NaN
17500.0,NaN
17600.0,NaN
17700.0,NaN
17800.0,NaN
17900.0,NaN
18000.0,NaN
18100.0,NaN
18200.0,NaN
18300.0,NaN
18400.0,NaN
18500.0,NaN
18600.0,NaN
18700.0,NaN
18800.0,NaN
18900.0,NaN
19000.0,NaN
19100.0,NaN
19200.0,NaN
19300.0,NaN
19400.0,NaN
19500.0,NaN
19600.0,NaN
19700.0,NaN
19800.0,NaN
19900.0,NaN
20000.0,NaN
20100.0,NaN
20200.0,NaN
20300.0,NaN
20400.0,NaN
20500.0,NaN
20600.0,NaN
20700.0,NaN
20800.0,NaN
20900.0,NaN
21000.0,NaN
21100.0,NaN
21200.0,NaN
21300.0,NaN
21400.0,NaN
21500.0,NaN
21600.0,NaN
21700.0,NaN
21800.0,NaN
21900.0,NaN
22000.0,NaN
22100.0,NaN
22200.0,NaN
22300.0,NaN
22400.0,NaN
22500.0,NaN
22600.0,NaN
22700.0,NaN
22800.0,NaN
22900.0,NaN
23000.0,NaN
23100.0,NaN
23200.0,NaN
23300.0,NaN
23400.0,NaN
23500.0,NaN
23600.0,NaN
23700.0,NaN
23800.0,NaN
23900.0,NaN
24000.0,NaN
24100.0,NaN
24200.0,NaN
24300.0,NaN
24400.0,NaN
24500.0,NaN
24600.0,NaN
24700.0,NaN
24800.0,NaN
24900.0,NaN
25000.0,NaN
25100.0,NaN
25200.0,NaN
25300.0,NaN
25400.0,NaN
25500.0,NaN
25600.0,NaN
25700.0,NaN
25800.0,NaN
25900.0,NaN
26000.0,NaN
26100.0,NaN
26200.0,NaN
26300.0,NaN
26400.0,NaN
26500.0,NaN
26600.0,NaN
26700.0,NaN
26800.0,NaN
26900.0,NaN
27000.0,NaN
27100.0,NaN
27200.0,NaN
27300.0,NaN
27400.0,NaN
27500.0,NaN
27600.0,NaN
27700.0,NaN
27800.0,NaN
27900.0,NaN
28000.0,NaN
28100.0,NaN
28200.0,NaN
28300.0,NaN
28400.0,NaN
28500.0,NaN
28600.0,NaN
28700.0,NaN
28800.0,NaN
28900.0,NaN
29000.0,NaN
29100.0,NaN
29200.0,NaN
29300.0,NaN
29400.0,NaN
29500.0,NaN
29600.0,NaN
29700.0,NaN
29800.0,NaN
